N°;Recommandation;Détails;Page
R1;Privilégier l’authentification multifacteur;"Il est recommandé de privilégier l’utilisation d’une authentification multifacteur,
c’est-à-dire une authentification mettant en oeuvre plusieurs facteurs d’authentification
appartenant à une catégorie de facteur différente parmi les facteurs de connaissance,
de possession et inhérent.";14
R2;Privilégier l’utilisation de moyens d’authentification forts;"Il est recommandé de privilégier l’utilisation de moyens d’authentification forts reposant
sur des mécanismes cryptographiques conformes au RGS et à ses annexes
B1 [13], B2 [12] et B3 [11].";16
R3;Conduire une analyse de risque;"Il est recommandé de mener une analyse de risque pour déterminer les moyens d’authentification
à mettre en oeuvre en fonction du besoin de sécurité.";18
R4;Créer les facteurs d’authentification dans un environnement maîtrisé;"Il est recommandé de créer les facteurs d’authentification dans un environnement
maîtrisé par l’entité chargée de sa création. Les méthodes d’enregistrement et de remise
du facteur d’authentification doivent être cohérentes avec le niveau de sécurité
attendue de l’authentification.";19
R5;Générer les éléments aléatoires avec un générateur de nombres aléatoires robuste;"Il est recommandé de générer les éléments aléatoires nécessaires à l’authentification
(comme des clés cryptographiques par exemple) au moyen d’un générateur de
nombres aléatoires robuste conforme à l’annexe B1 du RGS [13].";20
R6;Remettre les facteurs d’authentification au travers de canaux sécurisés;"Dans le cas où le facteur d’authentification est remis à l’utilisateur (cas d’une carte
à puce par exemple), il est recommandé de privilégier la remise en main propre car
elle rend possible la vérification d’identité présentant le meilleur niveau d’assurance.
Dans le cas d’une remise à distance, il est recommandé que les canaux et moyens de
transmission utilisés pour délivrer le facteur d’authentification soient protégés en intégrité,
authenticité et confidentialité.
La vérification de l’identité à distance est également possible et est réglementée par
le référentiel d’exigences applicables aux prestataires de vérification d’identité à distance
(PVID) [2].";20
R7;Mettre en place un processus de renouvellement des facteurs d’authentification;"Il est recommandé de mettre en place un processus de renouvellement des facteurs
d’authentification.";20
R8;Ne pas utiliser le SMS comme moyen de réception d’un facteur d’authentification;"Il est recommandé de ne pas utiliser le SMS comme moyen de réception d’un facteur
d’authentification.";21
R9;Conserver les historiques d’utilisation des facteurs d’authentification;"Il est recommandé de conserver les historiques des évènements liés à la vie des facteurs
d’authentification afin de faciliter la détection de comportements anormaux
qui présagerait d’une compromission d’un facteur d’authentification. Parmi ces évènements,
on peut citer : la date de création, les tentatives d’authentification (réussies ou échouées), les demandes de renouvellement, la date de révocation, etc. Il est recommandé
de suivre le guide de recommandations de sécurité pour la mise en oeuvre
d’un système de journalisation [6] appliqué au contexte de l’authentification.";22
R10;Limiter dans le temps le nombre de tentatives d’authentification;"Il est recommandé de mettre en oeuvre un mécanisme limitant le nombre de tentatives
d’authentification sur une période de temps donnée, afin de réduire les probabilités
d’authentifications frauduleuses par force brute.";22
